"","ID","Cluster","Abstract","Title","Downloads","Publication Year","ClusterTheme"
"373",373,"8","Static! is a project investigating interaction and product design as a way of increasing our awareness of how energy is used in everyday life. Revisiting the design of everyday things with focus on issues related to energy use, we have developed a palette of design examples in the form of prototypes, conceptual design proposals and use scenarios, to be used as a basis for communication and discussion with users and designers. With respect to design research and practice, the aim has been to develop a more profound understanding of energy as material in design, including its expressive and aesthetic potential, thus locating issues related to energy use at the centre of the design process.","STATIC! The Aesthetics of Energy in Everyday Things",952,2006,"critical/world"
"374",374,"1","This paper proposes a design framework, which examines the communication process between a female user and the Graphical User Interface (GUI) of a medical device to enhance her health matters; in particular, understanding their underlying needs and responses toward to the use of the device. The emphasis of the paper is to investigate the role of designer and health message within the communication process, in addition to identify appropriate GUI attributes relevant for the design of medical devices; aspects of response from the female user and other probable users are gathered. To broaden the framework, the role of existing visual references is examined, and the effects of moderating influences are discussed. Remaining cognizant of these different elements of response, and conceptualizing them as part of the framework presented, will assist further attempts to understand female user response to the Human-Computer Interaction (HCI) domain; transferring key ideas to further product design and development for female-centered medical devices. In conclusion, implications for future design practice, usability engineers of medical devices, and design research are presented.Education, and industrial design education in particular, is affected by changes in the economy, industry and society. This paper will show how the strategic choices made in education and the affinity of the curriculum to the dominant markets contributes to its ability to adjust to these changes and to benefit from them. The Finnish case will be used to illustrate this, and the empiric findings thereof will be studied through existing literature on professionalisation. Industrial design education in Finland had to gain status and differentiate from a strong tradition of arts, which led to the emphasis of a scientific cognitive basis. Then, striving for a cognitive basis resulted in new areas of design theories, such as ergonomics and design management, which changed the role of the designer and the education. This in turn made them better aligned with the industry and economy. As Finland experienced a structural change from forest industry to new high technology industries, which needed increasing amounts of industrial design professionals, the number of institutions offering design education exploded. This paper will show how industrial design education was able to adjust to these changes successfully.","Strategies for Surviving in a Changing Environment The History of Industrial Design Education in Finland",121,2006,"design/process"
"375",375,"4","Studying information usage by design engineers involves considering technical, social, cognitive and volitional factors. This makes it challenging, especially for researchers without a cognitive psychology background. This paper presents a summary of key findings in researching information use and processing in design, discusses important issues on the selection of a research strategy and sums up the important variables that need to be controlled for.","Studying Design Engineers use of Information Systems: Which variables to control for?",66,2006,"factors/results"
"376",376,"7","The designer works with people, with materials, with products. Designers are seen as people concerned with form, function and surface. But how often is the designer associated with technology? Still programming can be just as a creative activity as drawing. Deriving from experiences from the discipline of Interaction Design, we advocate a wider view on what a designer is and does by describing how we treat computational technology as any other design material and how we train engineering students and others into becoming designers in a technology-oriented environment. Our method to create an education in applied Interaction Design lends ideas from traditional design education, for instance open problems and exhibitions of results, but also incorporates high-fidelity prototyping and multidisciplinary projects carried out by heterogeneous groups, since this lies in the nature of the subject and the students.","Teaching Interaction Design: Matters, Materials and Means",225,2006,"communication/physical"
"377",377,"5","This paper discusses perception of the designed object and how our knowledge impacts on our visual perception of that designed object. It expands on the notion of interpretation both in the context of material culture and in the context of psychology. It explains how the approach to interpretation in both disciplines relies on an active observer/perceiver. The issue of perception of the designed object is approached using the theories of the perceptual psychologist Richard L. Gregory. His work is shown to be especially relevant because there is a degree of commonality between his view of interpretation and that of material culture. The overlap of the two approaches is sufficient to invite a greater exchange between the two disciplines. The conclusion of the paper is that a visual perception transformation occurs when knowledge filters our perception of the designed object. The paper maintains that this transformation of our visual perception of the designed object is a case of perceptual illusion, as coined by Gregory, and that it occurs when knowledge overrides visual perception.","The designed object that we know and see",80,2006,"material/materials"
"378",378,"1","architecture and design. In architecture this has been and characterised by the displacement of deconstructivist techniques of collage and contradiction with a folded logic of continuity and curvature. A correlative development can be discerned in design within the transition from the external moral code of green design to the immanent ethics of sustainable design. This parallel development suggests a rich site for dialogue and exchange between folding in architecture and the ecology of sustainable design, one that I argue presents an immanent field of design without transcendent unification of the disciplines. This paper seeks to examine this conceptual site through the interactive reflection of the philosophy of Gilles Deleuze (1925-1995) with design research, which I will argue has the potential to develop and extend current thinking in design ethics and aesthetics.","The Discrete and the Continuous in Architecture and Design",843,2006,"design/process"
"379",379,"2","The paper traces the evolution of the Mars Daisy animation; a visualisation developed to initiate collaboration between two groups within the university, enhance communication and understanding within the Cogent Computing Group, publicise an expanding, difficult area of research and enrich the learning experiences of students.","The evolution of the Mars Daisy",58,2006,"students/learning"
"380",380,"1","The History and Theory of Architecture have traditionally discussed buildings as if they were the fixed, timeless emanations of the mind of an omnipotent Architect. However, the real life of buildings as we experience them is anything but fixed, pure, or timeless. In order to survive, buildings have to be as chimerical and cunning as the people who made them. This paper proposes an alternative history of Architecture that aims to resolve this contradiction between Theory and Practice. This proposed History records the survival stories of a number of buildings, told in the manner of stories that have themselves survived through repeated shape shifting –myths and fairy stories. By telling these stories, this proposed history of Architecture aims to feed the practice of Architecture with examples that illustrate how flexible, ephemeral, and engaging the life of buildings can be.","The Fairy Stories project: Towards a history of Architecture as a time based medium",184,2006,"design/process"
"381",381,"8","This paper explores the elision of public and private realms in the interior at advent of the 21st century. “The Fluid Contemporary Interior,” covering the mid-1980s to the present, surveys the interior spaces of the house, the apartment, the loft, the office, civic spaces, religious spaces, cultural spaces, retail spaces, restaurants, hotels, and therapeutic spaces. A critical assessment of the social implications of the contemporary interior, this paper examines the fluctuations in design typologies in a globalized era. For example, hospitals are increasingly adopting the form language of spas and health clubs to allay patient's fears and to be more responsive to their psychological needs; at the same time, spas and health clubs adopting the language of clinics to suggest that their services are a vital dimension of physical and mental well being. Civic spaces, from embassies to libraries to schools, are now designed to promote interaction and to erase the memory of anonymous institutional interiors. Offices are using furnishings and spatial strategies formerly in the domain of the home; likewise, retail spaces provide amenities to blur the commercial nature of their activities. My paper not only valorizes these shifts but also questions their implications in the nascent 21st century.","The Fluid Contemporary Interior",249,2006,"critical/world"
"382",382,"1",NA,"The Poster of the New State",106,2006,"design/process"
"383",383,"1","To resolve the marginalisation of East Asian design in graphic design history, this research argues for design history’s reconception from the perspective of deeper historical and globological structures than the recent prominence of Euro-American design. That Western society has integrated its current global power with processes of cultural imperialism is evident from the writing of graphic design history. The metadiscourses of Euro-American modernism and postmodernism constitute the roots of privileged and prejudicial knowledge in the history of graphic design, establishing Western developments as the yardstick for the production and ordering of graphic design history. Substantive frameworks for shaping design history are necessary. However, frameworks are also necessarily subject to change as historical conditions alter. The rise of East Asian economies raises the issues of the cultures that support them, including their cultural heritages, which have had a world historical influence over fields like writing, printing and design. Writing the history of East Asian design cultures not only acknowledges their historical importance, it is fundamental to their future development as distinctive design spheres while opening up the scope for culture-based knowledge and understanding to reorient homogenous Western design.","The Reorganization of Graphic Design History",387,2006,"design/process"
"384",384,"8","In this paper, we investigate the problem of the nature, role and purpose of the research exhibition. The problem arises from the desire of practitioner-researchers to use the exhibition as a research tool. However, at present it is not clear whether, and in which way, the research exhibition is different from an ordinary exhibition, nor what its particular contribution to research might be. We investigate the problem of the research exhibition in relation to the conventional art/design exhibition as a familiar medium of communication in art & design. We compare the aims of research and practice, and we analyse how the aims of practice are served and communicated by the exhibition. We then conjecture how the research exhibition might serve to advance and communicate research, and on its potential form and purpose, by differentiating it from the art/design exhibition and its purpose. The outcome of the research is a set of criteria with which to identify and differentiate the research exhibition from a conventional exhibition. We conclude that the research exhibition can be used both as a research tool and as a means of communication of research.","The Research Exhibition: context, interpretation, and knowledge creation",138,2006,"critical/world"
"385",385,"1","Most of design researches have paid attention to the rational aspect of design, such as systematic process, design reasoning, design knowledge and so on. However, flashes of insight really occur in many designs. By protocol analysis, the present paper studies such a particular thinking phenomenon of design—the so-called ‘design eureka’. Design eureka always occurs suddenly and is so slippery to catch and to explain. Before design eureka can be understood by analysis, it is the first task to capture it successfully. This paper aims to develop an effective method of describing design eureka in order to have further analysis possible. Four real-world protocols, all experienced design eureka in their design process, are deeply investigated by a series of analyses. In the tables and network-figures of the analytic method, the actual evolutions of design thinking are visualized and show out the place of “design eureka” in the context with design “bottleneck”. Secondly, through the advanced content analysis, the evolution of bottleneck problems and the “exterritoriality” of design eureka are revealed and explained. Three critical characteristics of design eureka are discussed. The results indicate a kind of particular faith in designer’s intention, which plays a central role of design-art creativity and makes design to go beyond problemsolving scope but near a kind of art-working.","The Role of Design Eureka in Design Thinking",252,2006,"design/process"
"386",386,"8","Visual communication design has been represented in varied images from ancient society up until the present time. Especially graphic design, which has experienced artistic upheaval from modernism and postmodernism, has been enabled to deliver messages in a more developed and sensuous appearances. Deconstructionist design wasn't well received by modernism, an advocate of practicality and effectiveness; however, as the beginning of subsequent postmodernism, it started to earn a warm welcome from a number of designers. Postmodernism made it possible for deconstruction to be a new paradigm appreciating neutral respect for varied expressions and designers' idiosyncrasy. Corresponding to this new trend, Edward Fella4 published his artwork ""Letters on America"", which introduced a variety of vernacular design works in America. It was the result of years of research, and included materials which were not something completely new to field of communication design but rather symbolic, deconstructive images available everywhere around us. Deconstruction broke away from the previous modernism's unity and standards, and sought to achieve a new tensional deliverance. As a consequence, images were created in destructive and incomplete forms. Graphic design also complied with this new code and its advent fascinated the artists in the fields of advertising, editorial and poster designs. This paper contends that contemporary graphic design still maintains a deconstructive representation, examines its locality in design works from an aesthetic viewpoint, and researches theoretical approaches to deconstructionist and case studies conducted domestically. There has been incessant critical contradiction in terms of the heritage of deconstruction. I would like to present you with a moment in which you can struggle to decide whether it is a result of an effort to get away from modernism or an offspring of postmodernism.","The Status and the Prospects of Deconstruction in Graphic Design",3040,2006,"critical/world"
"387",387,"1","The designing process of a project begins from the early stage of the pursuit of the idea that characterizes it. The itinerancy from reality to fantasy, from order to chaos and back again, the narration, the wish, the time and the diachronic or the a-chronic placement of the creator, formulate the central subject-matter that is brought forward in this announcement.","The Trace of the Casual or a Designer's Journey towards the Formulation of an Idea",91,2006,"design/process"
"388",388,"5","This paper arises from practice-based design research that I am conducting for my doctoral degree. In that research, I am investigating the acoustic and aesthetic properties of hand-tufted fibre products that may be used in interior spaces. After producing and testing material samples, I am now moving on to further questions about the experience of such materials in situations of practical use. Specifically, I am investigating how such materials may be used to enhance experience when they are placed in interior spaces. I want to understand the possible criteria for explaining how these materials help to create a unified experience. To me, this is a question of principles. What principles shape our understanding of wholeness in experience? To address this question, I will explore the idea of unity or wholeness of experience in three philosophers, seeking criteria that may be employed by the practicing designer when seeking a concrete solution to a problem of interior space. The three philosophers are Maurice Merleau- Ponty, Roland Barthes and John Dewey. Through this work I hope to demonstrate how practice-based research can lead to fruitful investigation of fundamental theoretical problems. The research results will be of significance foremost for architects, designers and design researchers.","The Unity of Experience: Perspectives on the Products of Design",119,2006,"material/materials"
"389",389,"8","This paper starts by exploring some answers to questions about the causes and processes of change. These answers range from the ideas of Vitruvius to modern evolutionary accounts using the concept of memes as replicators. The paper then looks at some evidence gathered by the author and his post graduate students over a period of 40 years in studies of technological innovation, design management etc. There are two main conclusions - 1. We need to be much more modest in our beliefs that intentionality, rationality, reason, scientific understanding and so on can lead to better things. 2. We need more wonder when faced with the evidence that new things emerge by a memetic Darwinian process of change.","The Wonder of Change: Where do new things come from and how do they get here?",95,2006,"critical/world"
"390",390,"1","This paper outlines the intercultural, collaborative nature of Interaction Design summer schools for PhD and Masters students, while describing the design practices and educational methods utilized in such a context. The authors’ experiences as participants and facilitators in combination with data collected from a questionnaire and design patterns workshops are captured in this paper and reflected upon. In conclusion, a framework for organizing and implementing future Interaction Design academies is proposed.","The “STAR” Interaction Design Summer Schools Framework",156,2006,"design/process"
"391",391,"1","This paper introduces a new research aiming at defining the term Kansei using western philosophical concepts. In the literature, all definitions of the term Kansei are imprecise, even incorrect in most of the case. This is mainly due to the fact that Kansei is a Japanese term, which does not have direct translation in any western language. However, a deeper research has to be pursued to bring the research in Kansei, in Kansei Information, in Kansei Science, and so forth to an international level. This objective requires many research fields to meet in an interdisciplinary research environment following the example of previous works done in other fields, but also trying to link Japanese and Westerns concepts. This paper is an invitation for interested people to contact the research team.","Towards a definition of Kansei",217,2006,"design/process"
"392",392,"1",NA,"Towards a Design Methodology for Applying Intuitive",277,2006,"design/process"
"393",393,"1","Drawing on our recent experiences in two research projects in interface design, we propose an alternative to the model of design research that uses generalizability as one of the fundamental criteria. Instead, we suggest that transferability is a more ‘designistic’ factor, and that by privileging transferability in the design research process, we shift design back into the centre of design research. Although this strategy remains to be explored in depth, we provide one example of this kind of research, which involves a number of moves to repurpose an interface for one domain (drama) and community of users (actors, directors, and students) to another domain (football) and a different community (players, coaches, and fans of the game).","Transferability – A Wonder on the Ground of Design Research",196,2006,"design/process"
"394",394,"1","The paper explores the interplay between disciplinary knowledge creation in basic and applied design research on the one hand and experimental design on the other. As part of my dissertation, several case studies were analysed among them a long-term research project which was conducted at the C_Lab for customization design at the Academy of Art and Design Offenbach, Germany. Subject-matter of this research were the various implications and effects, that digital technology will have on design, on product semantics, the role of the designer and the user as co-designer. It included questions and hypothesis basic for design as well as experimental furniture design. Firstly, the paper presents the case, which provides rich inside into research that combines a quest for fundamental understanding of the field with considerations of use and practice. In a second step it will be analysed how knowledge creation and experimental design practice takes place in iterative hermeneutic circles, mutually inspiring and correcting. Finely I will classify the case study within a conceptual framework set up by Donald E. Stokes, who argued for a dynamic model of use-inspired basic research.","Use-Inspired Basic Research: Improved Understanding and Innovative Products - a Case Study",500,2006,"design/process"
"395",395,"8","This paper presents how cartoons have been used to engage a large number stakeholder in the design of a radical new type of IT-artefact. It demonstrates how cartoons can increase the number of people that are actively involved and also how they can aid innovation, making them useful in many types of design. It also shows how they can serve as starting point for “traditional” IT artefact development methods. It includes a case study of a pioneering project were student will participate in the design of a versatile, omnipresent electronic agent, an e-Me, that schools, authorities and companies are required to address with interacting with the student. It might be thought of as turning the internet around – rather than having students find and keep track of sites, the sites will have to come to the students and interact with them in the way specified by them.","Using Cartoons to Engage Stakeholders in Innovation and Design of IT Artefacts",124,2006,"critical/world"
"396",396,"6","This paper aims to provide insights into how users respond when products fail to deliver value. It is based on a cross-cultural ethnographic study on users’ value assignment to kitchen appliances. Findings suggest that users tend to develop some way of making up for the low value delivered by the product. The ways of dealing with the problem of increasing the practical and social outcomes of interaction with products are called value-compensating strategies. The paper describes the applications of these value strategies with (1) unique local products, (2) products that are owned but not used, (3) products used in a unique way, (4) two or more products that serve the same function, and (5) products users might have owned but did not. The failure to deliver value is related to the lack of suitability of product properties to local behaviors, systems, or meanings. Practical applications for design practice are also discussed.","Value Compensating Strategies",93,2006,"product/products"
"397",397,"8","In this paper, the idea of city making is explored within the framework of civic environmentalism. Civic environmentalism is a holistic perspective that sees community health, ecosystem health, social health, economic health, present conditions and future conditions, all as interdependent. The aim of the paper is to propose values for making and re-making the city in a way consistent with promoting physically and socially-sustainable environments. Its primary lessons are that the city must be seen as part of a continuous environment and it must continuously be made and re-constituted in a way that it is respected and loved. Tools and strategies for accomplishing that end include history and memory of the city, recognition of the interdependence between city and nature, a sense of community and a sense of place. The paper discusses values that have been abstracted out of life goods as powerful constituents for the foundation of a spirit of civic environmentalism.","Values for sustainability in city design & A gentle declaration",81,2006,"critical/world"
"398",398,"2","Throughout the twentieth century in Portugal, confronted with the insufficiencies of formal teaching, professionals from the visual and graphic communication field had to construct through practice the skills that allowed to meet the different challenges encountered. This study aims at disseminating the different contexts of formation and learning in the graphical professions and interpreting them according to the cultural contexts.","Visual Communication In Portugal: Professional Training And Skills In Twentieth Century",76,2006,"students/learning"
"399",399,"7","Despite the recent flurry of interest in the visual, the written word continues to dominate as both the focus and medium of deep analysis. I suggest that we ought to challenge this paradigm by questioning the privileging of the verbal in western culture in general and the academy in particular. I propose that one way to do so is to elevate visual rhetoric to equal status with verbal rhetoric. Unfortunately, when visual entities are “elevated,” the “elevator” commonly turns to framing strategies that isolate artifacts from the broader cultural contexts in which they are created and used. Not only does this strategy encourage narrowly defined analysis based on visual form, it perpetuates a separate, but not quite equal status for visual rhetoric. Instead, I suggest design historians should explore the narrative encoded into design artifacts by analyzing the ways in which cultural content is distilled and then instilled in the design process, and then ultimately expressed in the use and visual form of design artifacts. This approach reveals complex narratives that are not readily apparent to most people. By investigating this visual meaning, I suggest design historical work is likely to yield insights that both pure visual analysis and verbally biased analysis of visual phenomena may miss.","Visual Rhetoric and the Special Eloquence of Visual Form",304,2006,"communication/physical"
"400",400,"8","In 1959, Sydney based textile designer Florence Broadhurst emerged on the design scene with a collection of prints inspired by Japanese motifs; Art Nouveau and Deco swirls, abstract weaves and traditional tapestry designs. Setting up her studio in the heart of avant-garde Paddington with a team of young designers and screen printers at her side, Florence Broadhurst, also known as ‘Madame Pellier’, began creating her lavish, bold coloured designs. These eclectic prints were extensively utilised for wallpaper and interior furnishings and introduced the Australian post war consumer to vibrant geometric patterns and valiant colour plans. If one examines the cultural debates around textile design and cultural appropriation, one is faced with a choice: either to accept the concept that appropriation belongs to a series of mechanisms that include the assimilation and incorporation of Other materials or ‘signs’ into ones own culture to enlarge, re-inforce or exoticise, or to conclude that the raison d'etre of the designer is that of aesthetic and social commentary. Through investigation and debate, this paper will explore the design and cultural influences of Florence Broadhurst and the Broadhurst Print Collection, and question the issues around cultural appropriation, or ‘borrowed inspiration’. It will reflect on the boundaries between representational and non-representational, abstract and figurative design that echo a kaleidoscopic mix of traditional practices and new inventions that ultimately sway in the murky waters of artistic licence, cultural transmission and power relations. This paper will also consider the multiple ways in which Florence Broadhurst consumed and rearticulated her own political agenda’s dominant signs; from the discourses of art, history, Orientalism and fashion in general. By examining the diverse interplay between the complex processes of the appropriation, consumption and production of Broadhurst’s designs, the aim of this paper is to examine and question the ambivalent nature of textiles and its production of meaning in cultural life.","Wallpaper Tiger: The Florence Broadhurst Collection and the Questions of Cultural Appropriation in Design.",787,2006,"critical/world"
"401",401,"8","This working paper seeks to expose two meditations on sexual difference in design, based on preliminary philosophical inquiries. The first meditation, on binary opposition, relates the use of dichotomies within language, and also within the language of design that uphold a construct perpetuating a hierarchy and a status quo, where women are not fully included in neither the process nor the outcome. The second meditation is a suggestion of ways in which issues such as binary opposition can begin to be mediated on common ground, here termed 'third space', where a sharing between different subjects can occur. ""The language system, or system of languages, doubled or accompanied by epistemological formalism and formal logic, takes from women and excludes them from the threshold of living in the world. Bars women from the to-and-fro of words, from the traversal of words that would allow them both to get out of and to return to their own homes To (sic) ""take off"" from their bodies, give themselves a territory, an environment, and invite the other to some possible share or passage."" (Irigaray, 2004/1984) This exploration is part of the foundation of research aimed at making urban spaces inclusive to all.","wander_woman_wonder: sexual difference in urban design",46,2006,"critical/world"
"402",402,"7","This paper aims to explore the role that visual communication plays in the urban environment, and the potential for further discussion as a single domain. The scope of enquiry covers aspects of Geography, Urban Design and Graphic Design, exploring briefly the broad contexts for the subject, and the relationship between the emerging disciplines that are playing an increasing and highly visible role in how we use public spaces. It concludes that Graphic Design is playing a significant role in determining the success or failure of the multitude of behaviour settings in the built environment, and a closer relationship with Urban Design will create better conditions for design practice.","What are the visual communication requirements of a built environment?",341,2006,"communication/physical"
"403",403,"2","The operational differences which result from using different electronic communication media and its impact on generic design skills have been the basis for the research reported in this paper. The outcome of this research is the development and mapping of generic skills profiles for virtual design teams and the designers who work in them. The research findings also identify changes in generic skills profiles between the traditional mode of team design as well as the different operational states of current and future ICT environments. This paper examines design team activities, processes and skills occurring in co-located environments and links these with those of virtual teams. This is achieved by documenting the results of analyses of video data of designers involved in collaborative design using various ICT technologies, ranging from traditional co-located systems to high bandwidth 3D virtual worlds. The analyses identify that ‘appropriate generic skills’ are necessary when interacting and collaborating using different electronic media and this study presents a case for ongoing research into the area of generic skills within virtual design teams.","What it Takes to Design in the Virtual World",79,2006,"students/learning"
"404",404,"6","Organizational scholars recognize the importance of customers’ perceptions for the successful adoption and diffusion of product innovations. Yet most studies have focused on how innovating firms develop necessary new competencies and learn about customers’ needs rather than on how customers’ perceptions may be influenced by the firms’ technological and design choices. Drawing on psychological research, we argue that innovations with different degrees of novelty present customers with different degrees of incongruity, thereby triggering varying cognitive and emotional responses, which have varying effects on customers’ perceptions of the value potential of product innovations. We develop a framework that articulates how firms can use product form design to influence these cognitive and emotional processes. Our theory suggests that the current view of product innovations as outcomes of technological search should be extended to recognize that product form design endows new products with symbolic and aesthetic properties, which can have significant consequences for how the technologies that firms introduce are perceived and adopted.","When is a New Thing a Good Thing? Technological Change, Product Form Design and Perceptions of Value for Product Innovations",163,2006,"product/products"
"405",405,"8","I suspect that the growing ‘body’ of design theory may be infected by more inconsistency than is justifiable by genuine disagreement among design researchers. Taking my clue from Peirce, who argued that theory inevitably rests on basic metaphysical assumptions that theorists ought to be critically aware of, I demonstrate how ‘insidious inconsistency’ may infect design theory if we ignore this admonition. As a possible remedy, I propose a method by which the philosophy of design may develop sound metaphysical foundations (‘worldviews’) for design theory – and obtain philosophical insights into design as a valuable side effect.","Worldviews for Design Theory",185,2006,"critical/world"
"406",406,"7","Cycling is highly recommended by experts concerned with environmental and public health. Cycling does not produce CO2 emissions, can be economical, and can improve physical fitness. However, the barriers to cycling remain significant to many. Combined with a light rail system the bicycle offers a compelling alternative to automobiles; yet, bicycles are denied access on certain rail systems because they can take too much space away from pedestrians who share the light rail interior. To help solve this problem, Co-Design in 3D virtual space is proposed as an effective means of creating an innovative design solution. The digital questionnaires and virtual 3D modeling research/design method used in this study gives the participant the ability to offer insights and express ideas through digital means and in 3D virtual space. This method, Co-Design in Virtual Space (CoDeViS), was developed by the author. CoDeViS methods are an outgrowth of physical co-design methods such as 2D collages and 3D Velcro modeling, developed by those featured in The International Journal of CoCreation in Design and the Arts. Physical 3D methods have been widely accepted in the new product development industry as effective ways to involve people outside a design team in the research and design process. CoDeViS methods offer promise to those seeking to make the principles of co-design available to larger groups of people in discrete locations around the world at lower cost. Historical developments, current technology, and the abilities of everyday people make C","A Case Study of Applied Co-Design in 3D Virtual Space for Facilitating Bicycle Use on Light Rail Systems",88,2008,"communication/physical"
"407",407,"1","The paper presents a research-based study project conveyed by Media Lab Helsinki in 2007â€“2008. During the process, the design team constructed a unique audiovisual tool that provides emotional support in coping with the challenges of a premature birth. The purpose of the two-hour DVD, with its three separate parts, is to help family, intensive care staff, and other associated health care personnel to better connect with each other and the tiny babies. As the first audiovisual material, which aims to explain premature babies' communication and interaction, the end product has proven to be of significant value to Finnish neonatal care and other associated fields. The project was realized in cooperation with the Neonatal Intensive Care Unit in Children's Hospital, HUCH (Helsinki University Central Hospital), and the design team worked in a network of shared expertise. In the case study the authors used co-design and self-reflection methods to monitor graduate students working with a society-level challenge. The focus was upon the utilisation of intuition in innovations, problem solving, and project management. During the design process, the authors observed the working theory: intuition is the basis of successful decision-making, which leads to innovative solutions. Throughout the design process, the team collected systematically feedback, which was later utilised as a corner stone in the case study. The authors believe that relying on intuition, the design team ended up addressing many hidden issues of the clinic and parenthood of premature babies'. This paper tries to unfold the evolutionary working approach used during the design process, presents highlights of the case study research as well as illuminates the intuitive way of working from designers' point of view.","A case study of intuition and design: Building a tool for parents of premature babies and the nursing staff who care for them",103,2008,"design/process"
"408",408,"4","A colour design tool targeted at both unskilled consumers and professional designers is currently under development, on the basis of psychophysical studies into semantic associations of colour, the cultural influences and colour harmony. From experimental results for single-colour associations, 3 underlying factors were identified: 'warm-cool', 'heavy-light' and 'active-passive', which were found to agree well with those identified by earlier research. For colour-combination associations, an 'additive property' of colour association was discovered: the semantic score of a colour combination can be determined by averaging semantic scores of each constituent colour in that combination. According to the experimental results, there were 4 general patterns of colour harmony: similarity in hue and chroma, difference in lightness, high lightness and the hue effects. While the proposed colour design tool is still in its development stage and has a number of shortcomings, the system is believed to provide practical assistance and support not only for unskilled users but also for designers.","A Colour Design Tool Based on Empirical Studies",198,2008,"factors/results"
"409",409,"1","This paper reports on work in progress and initial findings of a research project that is comparing existing strategies for design (in promotion, support and policy fields) in four selected countries: Finland, South Korea, Brazil and India. For this specific paper, Finland and Brazil are the case studies compared. The paper explains the criteria for selection of these subjects, based on their stage of development and position on the Global Competitiveness Index (World Economic Forum). The objective of the research project is to investigate how countries with different national contexts adopt different strategies for design in coherence with their positions, weaknesses and strengths.","A comparative analysis of strategies for design in Finland and Brazil",176,2008,"design/process"
"410",410,"1","The aim of this study is to analyze the structure, role, and effectiveness of a design student's """"process book"""" as a method of capturing and facilitating design thinking. The """"process book"""" includes all of the work completed during a design project such as written notes, drawings, and research. This study poses the following research questions: 1) What role and value does the process book have to design students and instructors? 2) How can the process book structure help to reduce a student's cognitive load, yet allow for the spontaneous actions involved in graphic thinking? This mixed-method research study includes an analysis and exploration of interior design student and instructor perspectives of the process book artifact and tool. The data collection and analysis involves two main components. The first includes an investigation of student and faculty perspectives of the structure, role, and effectivenss of the process book obtained from semi-structured interviews. The second part is an online student survey questionnaire of sophomore, junior, senior, and graduate student perspectives. One interior design program in a large Midwestern university was selected. All students within the undergraduate and graduate program were invited to participate in the survey questionnaire and all faculty were interviewed. Interviews were audio-taped and later transcribed for coding and interpretation. This study serves as a case study and pilot study to provide a foundation for a larger-scale future research initiative. Results from this study will inform two future initiatives: 1) design of a larger-scale research design involving a multi-university sampling frame, and 2) development of a 'digital process book' research study.","A record of the design process A systematic investigation of the role, value, and effectiveness of the â€œprocess bookâ€ for interior design students",69,2008,"design/process"
"411",411,"7","Technologists promise a future in which pervasive, distributed networks enable radical change to social and political geographies. Design of these abstract, intangible futures is difficult and carries a special risk of excluding people who are not equipped to appreciate the ramifications of these technological changes. The Democratising Technology (DemTech) project has been exploring how techniques from performance and live art can be used to help people engage with the potential of ubiquitous digital networks; in particular, how these techniques can be used to enfranchise people with little technical knowledge, but who nonetheless will have to live with the design consequences of technical decisions. This paper describes the iterative development of a performance workshop for use by designers and community workers. These workshops employ a series of simple exercises to emulate possible processes of technological appropriation: turning abstract digital networks into imaginable, meaningful webs. They were specifically designed to target a technologically excluded group, older people, but can also be used with other groups. We describe the process of workshop development and discuss what succeeded with our test groups and what failed. In offering our recommendations for working in this space, we consider the methodological issues of collaborating across science/art/design borders and how this impacted on evaluation. And we describe the final result: a recipe for a performance workshop, also illustrated on a DVD and associated website, which can be used to explore the dynamics of technical and social change in the context of people's own lives and concerns.","Adventures in the Not Quite Yet: using performance techniques to raise design awareness about digital networks",69,2008,"communication/physical"
